System,Categories of Records
GSA's Customer Engagement Organization,<span class='usa-tag blue'>Full name</span> <span class='usa-tag blue'> Personal home or mobile phone</span> <span class='usa-tag yellow'> Personal email addresses</span> <span class='usa-tag blue'> U.S. citizenship status</span> <span class='usa-tag blue'> U.S. armed forces veteran status</span> <span class='usa-tag blue'> Current employer</span> <span class='usa-tag blue'> Optional links to social networking profiles</span> <span class='usa-tag blue'> Resume/CV</span> <span class='usa-tag red'> Social Security Number</span> <span class='usa-tag blue'> Grade</span> <span class='usa-tag blue'> Work phone Number</span> <span class='usa-tag blue'> Total Income</span> <span class='usa-tag blue'> Number of dependent children</span> <span class='usa-tag blue'> Number of children</span> <span class='usa-tag blue'> Information on child care providers used</span> <span class='usa-tag blue'> including name</span> <span class='usa-tag orange'> address</span> <span class='usa-tag blue'> provider license number and State where issued</span> <span class='usa-tag green'> tuition cost</span> <span class='usa-tag blue'> and provider tax identification number</span> <span class='usa-tag red'> Copies of IRS Forms 1040 and 1040A</span>
Employee-related files,<span class='usa-tag blue'>The system records contain the individual's name</span> <span class='usa-tag blue'> birth date</span> <span class='usa-tag orange'> home and emergency addresses and telephone numbers</span> <span class='usa-tag orange'> personnel actions</span> <span class='usa-tag blue'> professional registration</span> <span class='usa-tag blue'> qualifications</span> <span class='usa-tag blue'> training</span> <span class='usa-tag blue'> employment history</span> <span class='usa-tag blue'> awards</span> <span class='usa-tag blue'> counseling</span> <span class='usa-tag blue'> reprimands</span> <span class='usa-tag blue'> grievances</span> <span class='usa-tag blue'> appeals</span> <span class='usa-tag blue'> leave</span> <span class='usa-tag blue'> pay attendance</span> <span class='usa-tag blue'> work assignments</span> <span class='usa-tag blue'> performance ratings</span> <span class='usa-tag blue'> injuries</span> <span class='usa-tag blue'> permit and pass applications</span> <span class='usa-tag blue'> unpaid debt complaints</span> <span class='usa-tag blue'> including nonpayment of child support</span> <span class='usa-tag blue'> travel</span> <span class='usa-tag blue'> outside employment</span> <span class='usa-tag blue'> congressional employee relief bills</span> <span class='usa-tag blue'> and telephone call details.</span>
E-PACS,<span class='usa-tag blue'>Photo</span> <span class='usa-tag red'> Public Key Infrastructure (PKI) Certificate—(X509)</span> <span class='usa-tag red'> Card Authentication Key (CAK) Certificate</span> <span class='usa-tag blue'> Full Name</span> <span class='usa-tag blue'> Person Classification</span> <span class='usa-tag blue'> Badge Expiration Date</span> <span class='usa-tag blue'> Card State</span> <span class='usa-tag blue'> User Principal Name (UPN)</span> <span class='usa-tag yellow'> Federal Agency Smart Card Number (FASC-N)</span> <span class='usa-tag blue'> and Globally Unique Identifier (GUID).</span>
Investigation Case Files.,<span class='usa-tag blue'>Investigative files containing personal information</span> <span class='usa-tag blue'> date</span> <span class='usa-tag blue'> and place of birth</span> <span class='usa-tag blue'> experience</span> <span class='usa-tag blue'> and investigative material</span> <span class='usa-tag orange'> criminal</span> <span class='usa-tag blue'> and administrative actions.</span>
Internal Evaluation Case Files.,<span class='usa-tag blue'>Investigative files containing information such as name</span> <span class='usa-tag blue'> experience</span> <span class='usa-tag blue'> and investigative material that is used as a basis for taking civil</span> <span class='usa-tag orange'> criminal</span> <span class='usa-tag blue'> and administrative actions.</span>
Office of Inspector General Counsel Files,<span class='usa-tag blue'>Name</span> <span class='usa-tag orange'> addresses</span> <span class='usa-tag blue'> phone numbers</span> <span class='usa-tag yellow'> e-mail address</span> <span class='usa-tag blue'> birth date</span> <span class='usa-tag blue'> financial information</span> <span class='usa-tag red'> medical records</span> <span class='usa-tag blue'> or employment records.</span> <span class='usa-tag blue'> Case history files</span> <span class='usa-tag blue'> copies of applicable laws</span> <span class='usa-tag blue'> working papers of attorneys</span> <span class='usa-tag blue'> testimony of witnesses</span> <span class='usa-tag blue'> correspondence</span> <span class='usa-tag blue'> accident reports</span> <span class='usa-tag blue'> pleadings</span> <span class='usa-tag blue'> affidavits</span> <span class='usa-tag blue'> litigation reports</span> <span class='usa-tag blue'> financial data and other records</span>
Child Care Subsidy.,<span class='usa-tag blue'>Application forms for child care subsidy</span> <span class='usa-tag red'> Social Security Number</span> <span class='usa-tag blue'> grade</span> <span class='usa-tag yellow'> home and work numbers</span> <span class='usa-tag orange'> addresses</span> <span class='usa-tag blue'> telephone numbers</span> <span class='usa-tag blue'> total income</span> <span class='usa-tag blue'> number of dependent children</span> <span class='usa-tag blue'> and number of children</span> <span class='usa-tag blue'>information on child care providers used</span> <span class='usa-tag blue'> including name</span> <span class='usa-tag orange'> address</span> <span class='usa-tag blue'> provider license number and State where issued</span> <span class='usa-tag green'> tuition cost</span> <span class='usa-tag blue'> and provider tax identification number</span> <span class='usa-tag red'>and copies of IRS Forms 1040 and 1040A</span>
GSA Credential and Identity Management System (GCIMS).,<span class='usa-tag blue'>Employee/contractor/other worker full name</span> <span class='usa-tag red'> Social Security Number (SSN)</span> <span class='usa-tag blue'> Date of birth</span> <span class='usa-tag blue'> Place of birth</span> <span class='usa-tag blue'> Height</span> <span class='usa-tag blue'> Weight</span> <span class='usa-tag blue'> Hair color</span> <span class='usa-tag blue'> Eye color</span> <span class='usa-tag blue'> Sex</span> <span class='usa-tag blue'> Citizenship</span> <span class='usa-tag blue'> Start Printed Page 47140</span> <span class='usa-tag blue'> Non-US citizens only:</span> <span class='usa-tag blue'> Port of entry city and state</span> <span class='usa-tag blue'> Date of entry</span> <span class='usa-tag blue'> Less than 3-year US resident (yes or no)</span> <span class='usa-tag blue'> Occupation</span> <span class='usa-tag blue'> Summary report of investigation</span> <span class='usa-tag blue'> Investigation results and date</span> <span class='usa-tag blue'> File attachments containing PII</span> <span class='usa-tag blue'> Security Specialist Notes</span> <span class='usa-tag blue'> Investigation History Data</span> <span class='usa-tag blue'> Level of security clearance</span> <span class='usa-tag blue'> Date of issuance of security
Enterprise Server Services (ESS),<span class='usa-tag blue'>Employee/contractor/other worker's full name</span> <span class='usa-tag blue'> Organization/office of assignment</span> <span class='usa-tag green'> Company/agency name</span> <span class='usa-tag blue'> Work Address</span> <span class='usa-tag blue'> GSA Assigned work telephone number</span> <span class='usa-tag blue'> Personal home or mobile phone</span> <span class='usa-tag yellow'> Personal e-mail addresses</span>
Enterprise Cloud Services,<span class='usa-tag blue'>above/employee/contractor/other worker's full name</span> <span class='usa-tag blue'> Organization/office of assignment</span> <span class='usa-tag green'> Company/agency name</span> <span class='usa-tag blue'> Work address</span> <span class='usa-tag blue'> Work telephone number</span> <span class='usa-tag red'> Social Security Number</span> <span class='usa-tag orange'> Personal physical home address</span> <span class='usa-tag blue'> Personal home or mobile phone</span> <span class='usa-tag yellow'> Personal email addresses</span> <span class='usa-tag blue'> Individual work related records</span>
Personal Property Sales Program,<span class='usa-tag blue'>names</span> <span class='usa-tag blue'> phone numbers</span> <span class='usa-tag orange'> addresses</span> <span class='usa-tag red'> Social Security Numbers</span> <span class='usa-tag orange'> birth dates and credit card numbers or other banking information</span> <span class='usa-tag blue'> payment was received</span> <span class='usa-tag blue'> the form of the payment</span> <span class='usa-tag blue'> notices of default</span> <span class='usa-tag blue'> and contract claim information</span>
Contracted Travel Services Program.,<span class='usa-tag blue'>Full name</span> <span class='usa-tag red'>Social Security Number</span> <span class='usa-tag blue'>employee identification number</span> <span class='usa-tag blue'>home and office telephones</span> <span class='usa-tag orange'>home address</span> <span class='usa-tag yellow'>home and office e-mail addresses</span> <span class='usa-tag yellow'>emergency contact name and telephone number</span> <span class='usa-tag blue'>agency name</span> <span class='usa-tag blue'> address</span> <span class='usa-tag blue'> and telephone number</span> <span class='usa-tag blue'>air travel preference</span> <span class='usa-tag blue'>rental car identification number and car preference</span> <span class='usa-tag blue'>hotel preference</span> <span class='usa-tag red'>current passport and/or visa number(s)</span> <span class='usa-tag orange'>credit card numbers and related information</span> <span class='usa-tag orange'>bank account information needed for electronic funds transfer</span> <span class='usa-tag blue'>frequent traveler account information (e.g.</span> <span class='usa-tag blue'> frequent flyer account numbers)</span> <span class='usa-tag blue'>date of birth</span> <span class='usa-tag blue'>gender</span> <span class='usa-tag blue'>redress number</span> <span class='usa-tag blue'>known traveler
The Museum System (TMS),<span class='usa-tag blue'>gender</span> <span class='usa-tag blue'> race</span> <span class='usa-tag blue'> birth date</span> <span class='usa-tag blue'> age</span> <span class='usa-tag blue'> geographic indicators</span> <span class='usa-tag yellow'> personal e-mail address</span> <span class='usa-tag orange'> home address</span> <span class='usa-tag blue'> home phone number</span> <span class='usa-tag blue'> and similar personal information</span>
Design research,"<span class='usa-tag blue'>name</span> <span class='usa-tag blue'> telephone number</span> <span class='usa-tag yellow'> email address</span> <span class='usa-tag blue'> age range</span> <span class='usa-tag blue'> education level</span> <span class='usa-tag blue'> language</span> <span class='usa-tag blue'> profession</span> <span class='usa-tag blue'> occupation</span> <span class='usa-tag blue'> timestamp</span> <span class='usa-tag blue'> ""operating</span> <span class='usa-tag blue'> system""</span> <span class='usa-tag blue'> user-agent (browser)</span>"
Login.gov ,<span class='usa-tag yellow'>Email Address</span> <span class='usa-tag blue'> Master Universally Unique Identifier (UUID) or MBUN13</span> <span class='usa-tag blue'> Agency UUID</span> <span class='usa-tag blue'> Phone Number for multifactor authentication</span> <span class='usa-tag blue'> (MFA)</span> <span class='usa-tag blue'> PIV/CAC</span> <span class='usa-tag blue'> Full Name</span> <span class='usa-tag orange'> Address</span> <span class='usa-tag blue'> Date of birth</span> <span class='usa-tag red'> Social Security Number</span> <span class='usa-tag blue'> State-issued ID Number and Type</span>
Touchpoints,<span class='usa-tag blue'>name</span> <span class='usa-tag blue'>  telephone number</span> <span class='usa-tag yellow'> email address</span> <span class='usa-tag blue'> age range</span> <span class='usa-tag blue'> education level</span> <span class='usa-tag blue'> language</span> <span class='usa-tag blue'> profession</span> <span class='usa-tag blue'> occupation</span> <span class='usa-tag blue'> timestamp</span> <span class='usa-tag blue'> operating system</span> <span class='usa-tag blue'> referrer</span> <span class='usa-tag blue'> user-agent (browser).</span>
ConcurGov,<span class='usa-tag blue'>Traveler Information</span> <span class='usa-tag blue'> Traveler expense Information</span>
System for Award Management (SAM),<span class='usa-tag blue'>Taxpayer Identification Number (TIN)</span> <span class='usa-tag red'> Social Security Number (SSN)</span> <span class='usa-tag blue'> Legal Business Name</span> <span class='usa-tag blue'> Physical Address</span> <span class='usa-tag yellow'> Bank's routing number</span> <span class='usa-tag red'> bank account number</span> <span class='usa-tag blue'> and bank account type</span>
